Admissions;Time;PM10;SO2;NO2;CO;O3;Tmax;Tmaxm12;Tave;Tmin;RH;RHm01;RHm12;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;Carn;Tirad;Corpus;Indep;Penha
44;138;38,87714286;12,63063992;24,85305251;1239,156926;25,13869718;30,65;27,825;25,01;21,5;83,43;84,385;89,255;0;1;0;0;0;0;0;0;0;0;0
72;139;33,18428571;6,608292047;20,96145992;893,7085;26,2790625;30,96;29,775;25,4;21,45;77,09;80,26;84,385;0;0;1;0;0;0;0;0;0;0;0
87;140;51,04571429;12,96690051;34,40027494;1475,64;29,16770833;30,45;30,805;25,33;20,5;78,47;77,78;80,26;0;0;0;1;0;0;0;0;0;0;0
93;141;33,76142857;6,497180516;19,40360074;752,465;29,97395833;30,95;30,705;25,68;21,55;76,82;77,645;77,78;0;0;0;0;1;0;0;0;0;0;0
81;142;32,81142857;6,387742366;20,88488619;805,7275;39,67083333;28;30,7;23,67;20,8;87,765;82,2925;77,645;0;0;0;0;0;1;0;0;0;0;0
115;143;18,96857143;8,241558472;32,05413708;1382,195;23,98333333;22,45;29,475;20,44;19,15;94,79;91,2775;82,2925;0;0;0;0;0;0;0;0;0;0;0
80;144;32,43714286;8,819290005;27,76542109;1036,829776;27,97043508;27,75;25,225;23,44;20,5;87,11;90,95;91,2775;1;0;0;0;0;0;0;0;0;0;0
78;145;35,69571429;6,79299219;22,36491778;822,7795144;29,98333333;30,3;25,1;24,88;21,6;84,945;86,0275;90,95;0;1;0;0;0;0;0;0;0;0;0
79;146;24,07;8,143931352;23,4685604;611,315;34,80208333;25,8;29,025;23;21,3;82,575;83,76;86,0275;0;0;1;0;0;0;0;0;1;0;0
78;147;40,49285714;9,326276324;27,80838286;728,69;35,48854167;26,05;28,05;22,81;20,6;75,535;79,055;83,76;0;0;0;1;0;0;0;0;0;0;0
65;148;28,79714286;7,37610222;24,01146743;594,8625;36,325;26,1;25,925;22,4;20,05;82,855;79,195;79,055;0;0;0;0;1;0;0;0;0;0;0
49;149;22,84571429;6,014716404;22,98567635;622,9475;35,453125;24,4;26,075;21,6;19,4;92,335;87,595;79,195;0;0;0;0;0;1;0;0;0;0;0
60;150;24,25571429;8,48031365;29,36013433;1334,567022;25,9125;28,02646245;25,25;23,04;20,37921943;91,435;91,885;87,595;0;0;0;0;0;0;0;0;0;0;0
58;151;34,86714286;9,818914377;29,00131214;1866,725;17,5111984;27,35856512;26,21323123;23,57;21,22104893;88,03;89,7325;91,885;1;0;0;0;0;0;0;0;0;0;0
50;152;36,33571429;11,12779181;29,48009938;1616,28325;17,56529411;26,53438799;27,69251379;23,07;20,87532315;86,835;87,4325;89,7325;0;1;0;0;0;0;0;0;0;0;0
64;153;37,76285714;9,225594739;29,53480239;981,05848;26,09612172;27,77517175;26,94647656;23,4;20,4014603;79,88;83,3575;87,4325;0;0;1;0;0;0;0;0;0;0;0
